,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.8058851014595941,0.782592552694159,0.47078103229699536,0.7028301886792453,0.7669811320754717,0.7349056603773585,0.7349056603773585,0.751008064516129,0.5714285714285714
1,0.7927296190815236,0.7681473418494411,0.4651111047875085,0.7283018867924528,0.7367924528301887,0.7325471698113207,0.7325471698113207,0.7345385347288297,0.5238095238095238
2,0.7845478818084729,0.7534734882400537,0.4548757052258808,0.7141509433962264,0.7405660377358491,0.7273584905660377,0.7273584905660377,0.7335271317829457,0.5238095238095238
3,0.7939573691705233,0.7650821954792484,0.46602620384993787,0.7641509433962265,0.7009433962264151,0.7325471698113207,0.7325471698113208,0.7187222715173026,0.47619047619047616
4,0.786815592737629,0.7684717889001338,0.4529635810383948,0.6783018867924528,0.7726415094339623,0.7254716981132076,0.7254716981132076,0.7489583333333333,0.5714285714285714
5,0.7833842114631542,0.7625238428514355,0.4424223492618599,0.6745283018867925,0.7660377358490567,0.7202830188679246,0.7202830188679246,0.7424714434060229,0.5714285714285714
6,0.7746787112851548,0.7557740669462937,0.4164405069522656,0.6547169811320754,0.7594339622641509,0.7070754716981132,0.7070754716981131,0.7312961011591148,0.5714285714285714
7,0.7936587753648986,0.7740579842001399,0.46894874279362025,0.6877358490566038,0.779245283018868,0.7334905660377359,0.7334905660377359,0.7570093457943925,0.5714285714285714
8,0.7933837664649341,0.7771106795651871,0.4551092343104317,0.7066037735849057,0.7481132075471698,0.7273584905660377,0.7273584905660377,0.7372047244094488,0.5238095238095238
9,0.7885265109261771,0.7635891059683201,0.45831196224819065,0.6912181303116147,0.7658168083097262,0.7285174693106704,0.7285174693106704,0.746938775510204,0.5714285714285714
mean,0.7897567539762061,0.7670823046694413,0.45509904227650855,0.7002538885028596,0.7536571525290858,0.7269555205159728,0.7269555205159728,0.7401674726157723,0.5476190476190477
std,0.007875535690531245,0.008619279235942126,0.015256137136101569,0.029266470040578453,0.021891699510845325,0.007830385874258234,0.00783038587425827,0.010736666186865772,0.03194382824999698
